Tel,Livesp,District,Floor,Bal,Price,lon,Walk,Kitsp,rooms,Metrodist,Totsp,lat,New,Brick,N,NFloor
0,19.0,0,2,1,10100000,37.579744,1,0,1,6,32.0,55.753772,0,1,150437958,5
0,31.0,0,7,0,10100000,37.676062,0,0,2,0,52.0,55.738292,0,0,149558180,12
1,32.0,0,1,1,10200000,37.585422,1,0,2,10,44.6,55.767053,0,1,146785232,9
1,32.0,0,1,1,10200000,37.585422,1,0,2,11,44.6,55.767053,0,1,148915854,9
1,32.0,0,1,1,10200000,37.585422,1,0,2,15,44.6,55.767053,0,1,148916134,9
0,48.4,0,20,0,10200000,37.564689,1,0,1,7,48.4,55.770244,0,0,150876128,44
1,15.1,0,2,0,10290000,37.582035,1,0,1,5,30.1,55.730335,0,1,149409653,14
0,24.0,0,14,1,10300000,37.685251,1,0,2,6,39.0,55.770902,0,0,150736409,14
1,26.0,0,4,1,10300000,37.638045,0,0,2,9,39.0,55.786996,0,0,51892024,12
0,44.3,0,5,0,10301984,37.671938,1,0,1,6,44.3,55.775753,0,0,149031304,0
0,46.2,0,3,0,10327639,37.671938,1,0,1,6,46.2,55.775753,0,0,149031267,0
0,17.3,0,3,1,10400000,37.684587,1,0,1,7,38.3,55.775636,0,0,150558098,12
0,46.0,0,4,0,10485169,37.671938,1,0,1,6,46.0,55.775753,0,0,149031287,0
1,28.0,0,6,1,10490000,37.657305,1,0,2,4,46.0,55.753889,0,0,149495692,12
1,19.0,0,2,0,10500000,37.563521,1,0,1,2,35.5,55.723247,0,0,150587243,5
1,31.0,0,11,0,10500000,37.686841,1,0,2,10,51.0,55.776846,0,0,150252566,12
0,23.5,0,6,1,10500000,37.607951,1,0,2,8,38.0,55.723354,0,0,149397410,9
1,18.0,0,8,1,10500000,37.578855,1,0,1,7,36.0,55.764855,0,1,150658322,14
1,28.0,0,3,1,10500000,37.589024,1,0,2,10,40.0,55.78276,0,0,149006725,5
0,17.0,0,5,0,10500000,37.601834,1,0,1,5,30.0,55.769094,0,0,150781044,5
0,105.0,0,7,0,278156560,37.577561,1,0,3,7,206.0,55.749633,0,0,149988577,14
0,90.0,0,8,0,73000000,37.596678,1,0,4,8,122.5,55.74979,0,1,142835641,9
0,0,0,3,0,103599000,37.622156,1,0,3,7,115.1,55.734238,0,0,149134330,4
1,19.0,0,13,1,10500000,37.692663,1,0,1,7,38.1,55.738439,0,0,150847744,17
0,19.0,0,11,1,10500000,37.559847,1,0,1,3,39.0,55.765463,0,0,150658211,17
1,21.0,0,10,1,10500000,37.600441,1,0,1,9,38.0,55.787067,0,1,149204655,12
1,47.0,0,3,0,10500000,37.696435,1,0,3,9,65.0,55.775429,0,0,150713577,5
0,61.5,0,3,0,10598345,37.67228,1,0,2,5,61.5,55.775824,0,1,150118459,6
0,0,0,3,0,10598345,37.672163,1,0,1,5,61.5,55.776294,0,0,149812299,8
0,61.5,0,3,0,10598345,37.671938,1,0,1,6,61.5,55.775753,0,0,149031365,0
0,29.0,0,2,1,10600000,37.627966,1,0,2,3,44.0,55.779423,0,1,149833251,5
0,60.7,0,4,0,10661503,37.671938,1,0,1,6,60.7,55.775753,0,0,149031384,0
0,47.3,0,4,0,10795300,37.671938,1,0,1,6,47.3,55.775753,0,0,149031281,0
0,26.0,0,5,1,10800000,37.585538,1,0,2,5,42.0,55.728859,0,1,149586481,5
1,18.0,0,8,1,10800000,37.590156,1,0,1,9,36.0,55.730112,0,1,149966179,8
0,33.0,0,6,1,10800000,37.679862,1,0,2,2,55.0,55.74562,0,0,150762106,7
0,19.0,0,3,1,10800000,37.559847,1,0,1,3,39.8,55.765463,0,0,150261777,17
0,0,0,1,0,10817568,37.671938,1,0,2,5,51.3,55.775753,0,0,149808776,5
0,0,0,1,0,10817568,37.671938,1,0,1,5,51.3,55.775753,0,0,149808772,5
0,51.3,0,1,0,10817568,37.671938,1,0,1,6,51.3,55.775753,0,0,149031209,0
0,28.0,0,4,1,10841600,37.642132,1,0,2,5,48.0,55.774305,0,0,149434931,16
0,47.7,0,4,0,10879674,37.671938,1,0,1,6,47.7,55.775753,0,0,149031282,0
1,19.0,0,3,1,10900000,37.645528,1,0,1,10,34.0,55.755976,0,1,150387502,10
1,36.0,0,3,0,10900000,37.668794,1,0,2,7,56.0,55.753296,0,0,148443997,7
1,20.0,0,3,1,10900000,37.559847,1,0,1,1,40.0,55.765463,0,0,149021395,17
0,0,0,6,0,10900000,37.672971,1,0,1,5,40.0,55.774958,0,0,142987539,8
0,32.1,0,6,0,10900000,37.672971,1,0,1,5,39.2,55.774958,0,1,138125457,9
1,19.0,0,8,1,10900000,37.590156,1,0,1,9,36.0,55.730112,0,0,149600678,8
0,33.0,0,8,1,21700000,37.629888,1,0,2,5,60.0,55.738465,0,1,150695938,14
0,23.4,0,1,0,11900000,37.57448,1,0,2,4,45.8,55.758342,0,1,149307685,9
0,0,0,4,0,7183146,37.671938,1,0,1,9,24.7,55.775753,0,1,150833986,6
0,19.0,0,2,0,10900000,37.636554,1,0,2,5,45.0,55.726239,0,0,137145027,12
1,19.0,0,2,0,10900000,37.636554,1,0,1,9,45.0,55.726239,0,0,150780674,12
1,19.4,0,6,1,10900000,37.563548,1,0,1,5,35.0,55.726198,0,0,150807537,14
1,17.0,0,1,1,10950000,37.581954,1,0,1,10,37.0,55.768502,0,1,150912522,9
0,50.0,0,2,0,10950000,37.67343,1,0,2,9,67.5,55.768177,0,0,150885034,4
1,28.3,0,7,1,10950000,37.637147,1,0,2,7,44.0,55.78526,0,0,150541205,12
0,56.4,0,1,0,10958128,37.672163,1,0,2,5,56.4,55.776294,0,1,149920193,6
0,32.0,0,9,1,10987000,37.590982,1,0,2,8,48.4,55.783757,0,0,149782738,9
1,29.1,0,9,1,10987111,37.590982,1,0,2,8,50.0,55.783757,0,0,148383684,9
1,25.2,0,4,1,10999000,37.566701,1,0,2,5,40.0,55.72638,0,1,50948798,5
1,18.0,0,3,1,11000000,37.586113,1,0,1,10,31.0,55.767985,0,1,149051482,5
0,30.0,0,6,0,11000000,37.672289,1,0,2,5,43.0,55.730568,0,1,150638398,8
0,17.0,0,4,1,11000000,37.581954,0,0,1,10,37.0,55.768502,0,1,150291609,9
1,20.0,0,3,1,11000000,37.670609,1,0,1,10,37.0,55.777039,0,1,150503960,7
1,23.0,0,4,1,11000000,37.665983,1,0,2,11,38.0,55.765367,0,0,148215472,14
1,21.6,0,11,1,11000000,37.618659,1,0,1,1,39.0,55.736012,0,0,150251771,15
1,16.0,0,1,0,11000000,37.594486,1,0,1,7,30.0,55.747363,0,1,148340141,8
1,22.9,0,1,1,11000000,37.567321,1,0,2,11,39.3,55.770163,0,1,150332385,9
0,0,0,1,0,11150000,37.582781,1,0,1,7,28.0,55.767944,0,0,148186493,8
0,0,0,1,0,11160000,37.582781,1,0,1,10,28.0,55.767944,0,0,148053763,8
0,22.9,0,1,0,11160000,37.588871,1,0,1,10,27.9,55.767514,0,1,142254433,8
0,46.0,0,4,1,11200000,37.558104,1,0,3,12,60.0,55.771028,0,1,139037740,5
0,20.0,0,2,1,11249465,37.643866,1,0,1,8,38.6,55.730857,0,1,149726378,7
0,45.7,0,6,0,11257800,37.685364,0,0,3,0,64.7,55.745617,0,1,150688077,19
0,31.0,0,6,1,11300000,37.573133,1,0,2,5,44.2,55.761685,0,0,150097553,9
